ble_count,CLB_groups_per_xb,lut_size,fc_in,fc_out,fs,Tdel,T_ipin_cblock,T_local_CLB_routing,T_local_feedback,T_logic_block_output,mwta_clb,mwta_ipin_mux_trans,mwta_switch_mux_trans,mwta_switch_buf,mwta_cb_buf
4,3,5,0.15,0.1,3,8.266e-11,7.221e-11,8.412e-11,1.217e-10,3.309e-11,6143.9019621784555,1.2559575028878802,1.741,22.538200155134025,9.263213139993175
4,4,5,0.15,0.1,3,8.35e-11,7.398e-11,8.806e-11,1.276e-10,3.213e-11,6837.555788095788,1.2559575028878802,1.741,23.412918856548302,9.187035203800841
5,2,5,0.15,0.1,3,8.909e-11,7.691e-11,7.814e-11,1.133e-10,3.25e-11,7299.242201507986,1.2559575028878802,1.741,23.3062315062054,9.285967425418304
5,1,5,0.15,0.1,3,8.826e-11,7.662e-11,5.182e-11,8.765e-11,3.496e-11,6325.142164300846,1.2559575028878802,1.741,21.804334683368996,9.446235364498476
5,3,5,0.15,0.1,3,9.086e-11,7.92e-11,8.566e-11,1.226e-10,3.194e-11,8103.358129687349,1.2559575028878802,1.741,22.882198655841652,9.290467498943462
5,4,5,0.15,0.1,3,9.262e-11,8.039e-11,8.686e-11,1.332e-10,3.214e-11,8944.572571466626,1.2559575028878802,1.741,26.18936111452806,10.87610093191107
6,2,5,0.15,0.1,3,9.832e-11,8.276e-11,8.738e-11,1.273e-10,3.345e-11,8955.155997246704,1.2559575028878802,1.741,24.487589909048936,9.437725064975666
6,3,5,0.15,0.1,3,9.944e-11,8.537e-11,9.53e-11,1.336e-10,3.418e-11,10045.125172597855,1.2559575028878802,1.741,25.34921944326352,9.42421116238949
6,1,5,0.15,0.1,3,9.517e-11,8.136e-11,5.157e-11,8.886e-11,3.332e-11,7846.442328346527,1.2559575028878802,1.741,26.035329103265102,9.411200893882917
6,4,5,0.15,0.1,3,9.86e-11,8.901e-11,9.6e-11,1.412e-10,3.649e-11,11225.102467326991,1.2559575028878802,1.961302579202418,25.469512202082058,11.040042337338313
7,2,5,0.15,0.1,3,1.008e-10,9.126e-11,1.001e-10,1.416e-10,3.452e-11,11093.410063172309,1.2559575028878802,1.961302579202418,25.64001549107855,9.737954624103269
7,1,5,0.15,0.1,3,9.738e-11,8.807e-11,5.857e-11,9.903e-11,3.541e-11,9269.084602654644,1.2559575028878802,1.961302579202418,25.32245342414215,9.52627761634698
7,3,5,0.15,0.1,3,1.027e-10,9.275e-11,9.693e-11,1.463e-10,3.704e-11,12319.112447013908,1.2559575028878802,1.961302579202418,25.68725760998539,11.092633572045823
7,4,5,0.15,0.1,3,1.058e-10,9.632e-11,1.111e-10,1.58e-10,3.675e-11,14258.357136762881,1.2559575028878802,1.961302579202418,27.221619517473556,11.144961658816698
8,2,5,0.15,0.1,3,1.078e-10,9.72e-11,9.815e-11,1.501e-10,3.637e-11,12674.60412542047,1.2559575028878802,1.961302579202418,27.31402639945281,9.741102460182084
8,1,5,0.15,0.1,3,1.06e-10,9.185e-11,7.942e-11,1.207e-10,3.532e-11,10762.61957884216,1.2559575028878802,1.961302579202418,26.64596398856802,9.7726010286472
8,3,5,0.15,0.1,3,1.117e-10,9.948e-11,1.03e-10,1.579e-10,3.964e-11,14713.861724818664,1.2559575028878802,2.1727504894282226,29.482542071836793,11.205692861064005
8,4,5,0.15,0.1,3,1.149e-10,1.05e-10,1.345e-10,1.89e-10,3.716e-11,17060.12748625942,1.2559575028878802,2.1727504894282226,29.44911029722845,11.205692861064005
9,2,5,0.15,0.1,3,1.13e-10,9.964e-11,9.652e-11,1.451e-10,3.359e-11,14874.303421586277,1.2559575028878802,1.961302579202418,26.767200224053415,11.101372893163601
9,1,5,0.15,0.1,3,1.127e-10,9.638e-11,6.969e-11,1.166e-10,4.097e-11,12007.750939223792,1.2559575028878802,2.1727504894282226,25.800855159208403,11.205692861064005
9,4,5,0.15,0.1,3,1.254e-10,1.107e-10,1.459e-10,2.039e-10,3.623e-11,19977.619071469693,1.2559575028878802,2.1727504894282226,29.881066491094852,11.205692861064005
9,3,5,0.15,0.1,3,1.224e-10,1.044e-10,1.165e-10,1.685e-10,3.502e-11,17392.24180542724,1.2559575028878802,2.1727504894282226,30.806789499642754,11.205692861064005
10,2,5,0.15,0.1,3,1.199e-10,1.061e-10,1.104e-10,1.568e-10,3.557e-11,17421.78566190772,1.2559575028878802,2.1727504894282226,29.534269426286535,11.205692861064005
10,1,5,0.15,0.1,3,1.173e-10,1.001e-10,7.931e-11,1.278e-10,3.616e-11,14238.105063562476,1.2559575028878802,1.961302579202418,24.856432572809787,11.158003844668139
10,3,5,0.15,0.1,3,1.289e-10,1.092e-10,1.33e-10,1.898e-10,3.611e-11,20144.712771275048,1.2559575028878802,2.1727504894282226,31.266862515497902,11.205692861064005
10,4,5,0.15,0.1,3,1.331e-10,1.162e-10,1.684e-10,2.368e-10,3.623e-11,23352.189859884602,1.2559575028878802,2.1727504894282226,30.66997324362578,11.205692861064005
11,2,5,0.15,0.1,3,1.37e-10,1.108e-10,1.186e-10,1.74e-10,3.802e-11,20030.67853884807,1.2559575028878802,1.961302579202418,31.836011727038404,11.205692861064005
11,1,5,0.15,0.1,3,1.249e-10,1.084e-10,6.394e-11,1.12e-10,3.593e-11,16310.841845674913,1.2559575028878802,2.1727504894282226,30.699687661640247,11.205692861064005
11,3,5,0.15,0.1,3,1.481e-10,1.302e-10,1.462e-10,2.086e-10,3.628e-11,23293.369096786602,1.2559575028878802,2.377488762626255,31.91320608914272,12.338812431987572
